Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
Hulls,Light Hull [DONE],1939,Early World War 2 Light Hull,Early World War 2 Light Hull,Early World War 2 Light Hull,Light Hull I,Light_Hull_0,100%,70%,,,,,20,,6,,5,,,,6,,,,,,,,,,,2.5,,,,1,,,,,,
,,1942,Mid-World War 2 Light Hull,Mid-World War 2 Light Hull,Mid-World War 2 Light Hull,Light Hull II,Light_Hull_1,105%,70%,,,,,20,,6,,7.5,,,,6.5,,,,,,,,,,,2.9,,,,1,,,,,,
,,1944,Late World War 2 Light Hull,Late World War 2 Light Hull,Late World War 2 Light Hull,Light Hull III,Light_Hull_2,110%,70%,,,,,20,,6,,10,,,,7,,,,,,,,,,,3.3,,,,1,,,,,,
,,1950,Post-World War 2 Light Hull,Post-World War 2 Light Hull,Post-World War 2 Light Hull,Light Hull IV,Light_Hull_3,115%,70%,,,,,20,,6,,12.5,,,,7.5,,,,,,,,,,,3.7,,,,2,1,,,,,
,,1960,Early Cold War Light Hull,Early Cold War Light Hull,Early Cold War Light Hull,Light Hull V,Light_Hull_4,120%,70%,,,,,20,,6,,15,,,,8,,,,,,,,,,,4.1,,,,2,1,,,,,
,,1970,Mid-Cold War Light Hull,Mid-Cold War Light Hull,Mid-Cold War Light Hull,Light Hull VI,Light_Hull_5,125%,70%,,,,,20,,6,,17.5,,,,8.5,,,,,,,,,,,4.5,,,,2,1,,,,,
,,1980,Late Cold War Light Hull,Late Cold War Light Hull,Late Cold War Light Hull,Light Hull VII,Light_Hull_6,130%,70%,,,,,20,,6,,20,,,,9,,,,,,,,,,,4.9,,,,2,1,,,,,
,,1990,Early Modern Light Hull,Early Modern Light Hull,Early Modern Light Hull,Light Hull VIII,Light_Hull_7,135%,70%,,,,,20,,6,,22.5,,,,9.5,,,,,,,,,,,5.3,,,,2,1,,,,,
,,2000,Modern Light Hull,Modern Light Hull,Modern Light Hull,Light Hull IX,Light_Hull_8,140%,70%,,,,,20,,6,,25,,,,10,,,,,,,,,,,5.7,,,,2,1,,,,,
,,2010,Advanced Modern Light Hull,Advanced Modern Light Hull,Advanced Modern Light Hull,Light Hull X,Light_Hull_9,145%,70%,,,,,20,,6,,27.5,,,,10.5,,,,,,,,,,,6.1,,,,2,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medium/MBT Hull [DONE],1939,Early World War 2 Medium Hull,Early World War 2 Medium Hull,Early World War 2 Medium Hull,Medium Hull I,MBT_Hull_0,110%,80%,,,,,30,,5,,30,,,,5,,,,,,,,,,,5,,,,2,,,,,,
,,1942,Mid-World War 2 Medium Hull,Mid-World War 2 Medium Hull,Mid-World War 2 Medium Hull,Medium Hull II,MBT_Hull_1,115%,80%,,,,,30,,5,,35,,,,5.5,,,,,,,,,,,5.75,,,,2,,,,,,
,,1944,Late World War 2 Medium Hull,Late World War 2 Medium Hull,Late World War 2 Medium Hull,Medium Hull III,MBT_Hull_2,120%,80%,,,,,30,,5,,40,,,,6,,,,,,,,,,,6.5,,,,2,,,,,,
,,1950,Post-World War 2 Medium Hull,Post-World War 2 Medium Hull,Post-World War 2 Medium Hull,Medium Hull IV,MBT_Hull_3,125%,80%,,,,,30,,5,,45,,,,6.5,,,,,,,,,,,7.25,,,,3,,,,,,
,,1960,First Generation Main Battle Tank Hull,First Generation Main Battle Tank Hull,First Generation Main Battle Tank Hull,MBT Hull I,MBT_Hull_4,130%,80%,,,,,30,,5,,50,,,,7,,,,,,,,,,,8,,,,3,,,,,,
,,1970,First+ Generation Main Battle Tank Hull,First+ Generation Main Battle Tank Hull,First+ Generation Main Battle Tank Hull,MBT Hull II,MBT_Hull_5,135%,80%,,,,,30,,5,,55,,,,7.5,,,,,,,,,,,8.75,,,,3,,,,,,
,,1980,Second Generation Main Battle Tank Hull,Second Generation Main Battle Tank Hull,Second Generation Main Battle Tank Hull,MBT Hull III,MBT_Hull_6,140%,80%,,,,,30,,5,,60,,,,8,,,,,,,,,,,9.5,,,,3,,,,,,
,,1990,Second+ Generation Main Battle Tank Hull,Second+ Generation Main Battle Tank Hull,Second+ Generation Main Battle Tank Hull,MBT Hull IV,MBT_Hull_7,145%,80%,,,,,30,,5,,65,,,,8.5,,,,,,,,,,,10.25,,,,3,,,,,,
,,2000,Third Generation Main Battle Tank Hull,Third Generation Main Battle Tank Hull,Third Generation Main Battle Tank Hull,MBT Hull V,MBT_Hull_8,150%,80%,,,,,30,,5,,70,,,,9,,,,,,,,,,,11,,,,3,,,,,,
,,2010,Third+ Generation Main Battle Tank Hull,Third+ Generation Main Battle Tank Hull,Third+ Generation Main Battle Tank Hull,MBT Hull VI,MBT_Hull_9,155%,80%,,,,,30,,5,,75,,,,9.5,,,,,,,,,,,11.75,,,,3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heavy Hull [DONE],1939,Early World War 2 Heavy Hull,Early World War 2 Heavy Hull,Early World War 2 Heavy Hull,Heavy Hull I,Heavy_Hull_0,120%,85%,,,,,35,,4,,45,,,,4,,,,,,,,,,,9,,,,3,,,,,,
,,1942,Mid-World War 2 Heavy Hull,Mid-World War 2 Heavy Hull,Mid-World War 2 Heavy Hull,Heavy Hull II,Heavy_Hull_1,125%,85%,,,,,35,,4,,50,,,,4.5,,,,,,,,,,,10,,,,3,,,,,,
,,1944,Late World War 2 Heavy Hull,Late World War 2 Heavy Hull,Late World War 2 Heavy Hull,Heavy Hull III,Heavy_Hull_2,130%,85%,,,,,35,,4,,55,,,,5,,,,,,,,,,,11,,,,3,,,,,,
,,1950,Post-World War 2 Heavy Hull,Post-World War 2 Heavy Hull,Post-World War 2 Heavy Hull,Heavy Hull IV,Heavy_Hull_3,135%,85%,,,,,35,,4,,60,,,,5.5,,,,,,,,,,,12,,,,4,,,,,,
,,1955,Early Cold War Heavy Hull,Early Cold War Heavy Hull,Early Cold War Heavy Hull,Heavy Hull V,Heavy_Hull_4,140%,85%,,,,,35,,4,,65,,,,6,,,,,,,,,,,13,,,,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
Protection,Armor [DONE],1939,Welded Armor,Base,Welded Armor,Welded Armor,Armor_0_W,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,5,,2,,,,,,
,,1939,Cast Armor,Base,Cast Armor,Cast Armor,Armor_0_C,,2%,,,,,1.75,,1.75,,,-10%,,,,,,,,,,,,,,-1.5,-10%,6,,2,,,,,,
,,1955,Spaced Armor,Early Composite Armor,Spaced Armor,Spaced Armor,Armor_1_Space,,,,,,,2.25,,2.25,,,25%,,,0.2,,,,,,,,,,,1.5,,5.5,,2,,,,,,
,,1955,Early Composite Armor,Early Composite Armor,Composite Armor I,Composite Armor I,Armor_1_Comp,-5%,,,,,,2.5,,2.5,,,50%,,,-0.4,,,,,,,,,,,2,,6.5,,1,1,,,,,
,,1965,Advanced Composite Armor,Advanced Composite Armor,Composite Armor II,Composite Armor II,Armor_2_Comp,,,,,,,3,,3,,,75%,,,-0.4,,,,,,,,,,,2.5,,6,,1,1,,,,,
,,1975,First Generation NERA,First Generation NERA,First Generation NERA,NERA I,Armor_3,,,,,,,3.5,,3.5,,,100%,,,-0.6,,,,,,,,,,,3,,5.5,,2,1,,,,,
,,1985,Second Generation NERA,Second Generation NERA,Second Generation NERA,NERA II,Armor_4,,,,,,,4,,4,,,125%,,,-0.8,,,,,,,,,,,3.5,,5,,3,1,,,,,
,,1995,Third Generation NERA,Third Generation NERA,Third Generation NERA,NERA III,Armor_5,,,,,,,4.5,,4.5,,,150%,,,-1,,,,,,,,,,,4,,4.5,,3,1,,,,,
,,2010,Fourth Generation NERA,Fourth Generation NERA,Fourth Generation NERA,NERA IV,Armor_6,,,,,,,5,,5,,,175%,,,-1.2,,,,,,,,,,,4.5,,4,,3,1,,,,,
,,1985,Second Generation Depleted Uranium NERA,Second Generation Depleted Uranium NERA,Second Generation Depleted Uranium NERA,DU NERA II,Armor_4_DU,,,,,,,3.75,,3.75,,,135%,,,-0.9,,,,,,,,,,,3.75,,5.5,,3,1,,,,,
,,1995,Third Generation Depleted Uranium NERA,Third Generation Depleted Uranium NERA,Third Generation Depleted Uranium NERA,DU NERA III,Armor_5_DU,,,,,,,4.5,,4.5,,,160%,,,-1.2,,,,,,,,,,,4.5,,5,,3,1,,,,,
,,2010,Fourth Generation Depleted Uranium NERA,Fourth Generation Depleted Uranium NERA,Fourth Generation Depleted Uranium NERA,DU NERA IV,Armor_6_DU,,,,,,,5.25,,5.25,,,185%,,,-1.5,,,,,,,,,,,5.25,,4.5,,3,1,,,,,
,,1955,Early Aluminum Alloy Armor,Early Aluminum Alloy Armor,Early Aluminum Alloy Armor,Aluminum Armor I,Armor_0_Light,10%,2.5%,,,,,1.5,,1.5,,,-15%,,,2,,,,,,,,,,,1,,2,,,2,,,,,
,,1965,Advanced Aluminum Alloy Armor,Advanced Aluminum Alloy Armor,Advanced Aluminum Alloy Armor,Aluminum Armor II,Armor_1_Light,10%,5%,,,,,1.75,,1.75,,,-10%,,,1.5,,,,,,,,,,,1.5,,2.5,,,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Add-on Armor [DONE],1965,Add-On Combined Armor,Advanced Composite Armor,,Add-On Combined Armor,Addon_0_Comb,,,,,,,1,,1,,,20%,,,-0.2,,,,,,,,,,,1.5,,0.1,,1,,,,,,
,,1975,First Generation Add-On NERA,First Generation NERA,,Add-On NERA I,Addon_1_NERA,,,,,,,1.5,,1.5,,,30%,,,-0.3,,,,,,,,,,,1.75,,0.1,,1,,,,,,
,,1985,Second Generation Add-On NERA,Second Generation NERA,,Add-On NERA II,Addon_2_NERA,,,,,,,2,,2,,,40%,,,-0.4,,,,,,,,,,,2,,0.1,,1,,,,,,
,,1995,Third Generation Add-On NERA,Third Generation NERA,,Add-On NERA III,Addon_3_NERA,,,,,,,2.5,,2.5,,,50%,,,-0.5,,,,,,,,,,,2.25,,0.1,,1,,,,,,
,,2010,Fourth Generation Add-On NERA,Fourth Generation NERA,,Add-On NERA IV,Addon_4_NERA,,,,,,,3,,3,,,60%,,,-0.6,,,,,,,,,,,2.5,,0.1,,1,,,,,,
,,1995,Light Add-on Composites,Light Add-on Composites,,Add-on Composites I,Addon_0_CE,,5%,,,,,0.5,,0.5,,20,25%,,,-0.2,,,,,,,,,,,1.25,,0.1,,,1,,,,,
,,2005,Advanced Light Add-on Composites,Advanced Light Add-on Composites,,Add-on Composites II,Addon_1_CE,,7.5%,,,,,1,,1,,30,30%,,,-0.25,,,,,,,,,,,1.75,,0.1,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ERA [DONE],1975,First Generation ERA,First Generation ERA,,ERA I,ERA_0,,,,,,,3,,1.5,,,5%,,,-0.1,,,,,,,,,,,1,,0.05,,,,,,,,
,,1985,Second Generation ERA,Second Generation ERA,,ERA II,ERA_1,,,,,,,6,,3,,,15%,,,-0.2,,,,,,,,,,,1.75,,0.05,,,,,,,,
,,1985,ERA for Light Armored Vehicles,Second Generation ERA,,LAFV ERA,ERA_L,,,,,,,7,,3.5,,,20%,,,-0.4,,,,,,,,,,,1.5,,0.05,,,,,,,,
,,2005,Third Generation ERA,Third Generation ERA,,ERA III,ERA_2,,,,,,,9,,4.5,,,25%,,,-0.3,,,,,,,,,,,2.5,,0.05,,,,,,,,
,,2015,Fourth Generation ERA,Fourth Generation ERA,,ERA IV,ERA_3,,,,,,,12,,6,,,35%,,,-0.4,,,,,,,,,,,3.25,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Smoke [DONE],1939,Smoke Grenade Dischargers,Smoke Grenade Dischargers,,Smoke Dischargers I,Smoke_0,,,,,,,1.5,,2.5,,,,,,,,,,,,,,,,,0.5,,0.05,,,,,,,,
,,1944,Engine Smoke Generator System,Engine Smoke Generator System,,ESS,Smoke_ESS,,,,,,,5,,,,,,,,,,,,,,,0.25,,,,1,,0.2,,,,,,,,
,,1975,Improved Smoke Grenade Dischargers,Improved Smoke Grenade Dischargers,,Smoke Dischargers II,Smoke_1,,,,,,,3.5,,5,,,,,,,,,,,,,,,,,1.25,,0.05,,,,,,,,
,,1985,IR Smoke Grenade Dischargers,IR Smoke Grenade Dischargers,,Smoke Dischargers III,Smoke_2,,,,,,,5.5,,8,,,,,,,,,,,,,,,,,1.75,,0.05,,,,,,,,
,,1995,Multi-Spectral Smoke Grenade Dischargers,Multi-Spectral Smoke Grenade Dischargers,,Smoke Dischargers IV,Smoke_3,,,,,,,7.5,,11,,,,,,,,,,,,,,,,,2.25,,0.05,,,,,,,,
,,2015,Smart Smoke Grenade Dischargers,Smart Smoke Grenade Dischargers,,Smoke Dischargers V,Smoke_4,,,,,,,9.5,,14,,,,,,,,,,,,,,,,,2.75,,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Active Protection Systems [DONE],1980,Early Hard-Kill Active Protection Systems,Early Hard-Kill Active Protection Systems,,Hard-Kill APS I,APS_0_H,-4%,,,,,,6,,3,,,,,,,,,,,,,0.15,,,,5,,0.2,,,,1,,,,
,,1990,Advanced Hard-Kill Active Protection Systems,Advanced Hard-Kill Active Protection Systems,,Hard-Kill APS II,APS_1_H,-3.5%,,,,,,9.5,,4.75,,,,,,,,,,,,,0.25,,,,5.5,,0.25,,,,1,,,,
,,2005,Modern Hard-Kill Active Protection Systems,Modern Hard-Kill Active Protection Systems,,Hard-Kill APS III,APS_2_H,-3%,,,,,,13,,6.5,,,,,,,,,,,,,0.35,,,,6,,0.3,,,,2,,,,
,,2015,Advanced Modern Hard-Kill Active Protection Systems,Advanced Modern Hard-Kill Active Protection Systems,,Hard-Kill APS IV,APS_3_H,-2.5%,,,,,,16.5,,8.25,,,,,,,,,,,,,0.45,,,,6.5,,0.35,,,,2,,,,
,,1990,Early Soft-Kill Active Protection Systems,Early Soft-Kill Active Protection Systems,,Soft-Kill APS I,APS_0_S,,,,,,,2,5%,4,5%,,,,,,,,,,,,0.15,,,,1.5,,0.1,,,,1,,,,
,,2010,Advanced Soft-Kill Active Protection Systems,Advanced Soft-Kill Active Protection Systems,,Soft-Kill APS II,APS_1_S,,,,,,,4,10%,8,10%,,,,,,,,,,,,0.35,,,,3,,0.2,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Fighting Systems [DONE],1942,Semi-Automatic Fire Fighting System,Semi-Automatic Fire Fighting System,,FFS I,FFS_0,5%,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.1,,,,,,,,
,,1950,Automatic Fire Fighting System,Automatic Fire Fighting System,,FFS II,FFS_1,7.5%,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,0.15,,,,,,,,
,,1975,Digital Automatic Fire Fighting System,Digital Automatic Fire Fighting System,,FFS III,FFS_2,10%,,,,,,,,,,,,,,,,,,,,,,,,,2,,0.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Type,Year,Module name,Unclocked by Tech,Tech Name,,Module Loc Name,Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resources,,,,,,,
,,,,,Long,Short,,"Reliability, %",Hardness,Hard attack,"Hard attack, %",Soft attack,"Soft attack, %",Breakthrough,"Breakthrough, %",Defence,"Defence, %",Armor,"Armor, %",Piercing,"Piercing, %",Max speed,"Max speed, %",Recon,"Recon, %",Entrenchment,Supply consumption,"Supply consumption, %",Fuel consumption,"Fuel consumption, %",Air Attack,"Air Attack, %",Production cost,"Production cost, %",Dismantling cost,Electricity,Construction metals,Light metals,Rare-earth metals,Nuclear materials,,,
FCS & Autoloaders,Autoloaders [DONE],1942,Gun Rammer,Gun Rammer,,Gun Rammer,Loader_0_Rammer,-2%,,,2.5%,,2.5%,3,,1,,,,,,,,,,,,2%,,,,,1,,0.1,,,,,,,,
,,1944,Mechanised Ammo Rack,Mechanised Ammo Rack,,Mech Ammo Rack,Loader_1_Mech_Ammo,-4%,,,5%,,5%,5,,2,,,,,,,,,,,,4%,0.1,,,,2,,0.4,,,,,,,,
,,1950,Drum Loading Mechanism,Drum Loading Mechanism,,Drum Autoloader I,Loader_2a_Drum,-6%,,,10%,,10%,4,,4,,,-5%,,,0.25,,,,,,6%,,,,,3,,0.6,,,,,,,,
,,1995,Advanced Drum Loading Mechanism,Advanced Drum Loading Mechanism,,Drum Autoloader II,Loader_2b_Drum,-16%,,,17.5%,,17.5%,10,,10,,,10%,,,0.5,,,,,,10%,0.5,,,,6.5,,0.8,,,,1,,,,
,,1960,Early Carousel Loading Mechanism,Early Carousel Loading Mechanism,,Carousel Autoloader I,Loader_3a_Carousel,-20%,,,10%,,10%,10,,-5,,,30%,,,1,,,,,,8%,0.2,,,,4,,1.5,,,,,,,,
,,1970,Modernised Carousel Loading Mechanism,Modernised Carousel Loading Mechanism,,Carousel Autoloader II,Loader_3b_Carousel,-17.5%,,,7.5%,,7.5%,12,,-3,,,30%,,,1,,,,,,8%,0.4,,,,4.65,,1.5,,,,1,,,,
,,1990,Advanced Carousel Loading Mechanism,Advanced Carousel Loading Mechanism,,Carousel Autoloader III,Loader_3c_Carousel,-15%,,,12.5%,,12.5%,14,,-1,,,30%,,,1,,,,,,8%,0.6,,,,5.3,,1.5,,,,1,,,,
